PMID,Title,,,,,,,,,,,,,
34964801,Can older patients adopt and maintain a ketogenic diet? An observational study in support of clinical trials in older patients,,,,,,,,,,,,,
35794438,Keto is Trending: Implications for Body Weight and Lipid Management,,,,,,,,,,,,,
33371997,Ketogenesis and SIRT1 as a tool in managing obesity,,,,,,,,,,,,,
36963874,"Fasting and diurnal blood ketonemia and glycemia responses to a six-week, energy-controlled ketogenic diet, supplemented with racemic R/S-BHB salts",,,,,,,,,,,,,
32508561,Exploring the Feasibility and Effects of a Ketogenic Diet in Patients With CNS Malignancies: A Retrospective Case Series,,,,,,,,,,,,,
34579079,Ketogenic Diets in Pancreatic Cancer and Associated Cachexia: Cellular Mechanisms and Clinical Perspectives,,,,,,,,,,,,,
27383313,Very-low-calorie ketogenic diet with aminoacid supplement versus very low restricted-calorie diet for preserving muscle mass during weight loss: a pilot double-blind study,,,,,,,,,,,,,
32193016,Impact of ketosis on appetite regulation-a review,,,,,,,,,,,,,
35291259,"Ketogenic Diet-induced Prurigo Pigmentosa (the ""Keto Rash""): A Case Report and Literature Review",,,,,,,,,,,,,
37475128,Normal diet ameliorates obesity more safely and effectively than ketogenic diet does in high-fat diet-induced obesity mouse based on gut microbiota and lipid metabolism,,,,,,,,,,,,,
35135094,[Effect of ketogenic diet on obesity asthma],,,,,,,,,,,,,
34864433,Study protocol on the safety and feasibility of a normocaloric ketogenic diet in people with amyotrophic lateral sclerosis,,,,,,,,,,,,,
32537539,A Case of Hypoglycemia Associated With the Ketogenic Diet and Alcohol Use,,,,,,,,,,,,,
38612972,High Fat Diet and Polycystic Ovary Syndrome (PCOS) in Adolescence: An Overview of Nutritional Strategies,,,,,,,,,,,,,
36615908,"Ketogenic Diet Combined with Moderate Aerobic Exercise Training Ameliorates White Adipose Tissue Mass, Serum Biomarkers, and Hepatic Lipid Metabolism in High-Fat Diet-Induced Obese Mice",,,,,,,,,,,,,
33497756,Ketogenic diet for depression: A potential dietary regimen to maintain euthymia?,,,,,,,,,,,,,
36398475,Experience with the ketogenic diet in premature neonates,,,,,,,,,,,,,
15351198,Atkins and other low-carbohydrate diets: hoax or an effective tool for weight loss?,,,,,,,,,,,,,
30289048,"Implementing a low-carbohydrate, ketogenic diet to manage type 2 diabetes mellitus",,,,,,,,,,,,,
37600438,Extreme Hypercholesterolemia Following a Ketogenic Diet: Exaggerated Response to an Increasingly Popular Diet,,,,,,,,,,,,,
35262297,"[The ketogenic diet: history, mechanism of action, indications and contraindications]",,,,,,,,,,,,,
36432492,"The Effect of the Restrictive Ketogenic Diet on the Body Composition, Haematological and Biochemical Parameters, Oxidative Stress and Advanced Glycation End-Products in Young Wistar Rats with Diet-Induced Obesity",,,,,,,,,,,,,
34534353,"Effects of a Low-Carbohydrate Ketogenic Diet on Reported Pain, Blood Biomarkers and Quality of Life in Patients with Chronic Pain: A Pilot Randomized Clinical Trial",,,,,,,,,,,,,
35409009,Ketogenic Diet Consumption Inhibited Mitochondrial One-Carbon Metabolism,,,,,,,,,,,,,
37155645,"The effect of isocaloric, energy-restrictive, KETOgenic diet on metabolism, inflammation, nutrition deficiencies and oxidative stress in women with overweight and obesity (KETO-MINOX): Study protocol",,,,,,,,,,,,,
38335391,"Usage, knowledge and perception of the ketogenic diet and associated factors in Saudi adults: A cross-sectional study",,,,,,,,,,,,,
34532829,"Effect of very low-calorie ketogenic diet in combination with omega-3 on inflammation, satiety hormones, body composition, and metabolic markers. A pilot study in class I obese subjects",,,,,,,,,,,,,
19738035,A very low carbohydrate ketogenic diet improves glucose tolerance in ob/ob mice independently of weight loss,,,,,,,,,,,,,
35745118,Very Low-Calorie Ketogenic Diet: A Potential Application in the Treatment of Hypercortisolism Comorbidities,,,,,,,,,,,,,
36441025,"Requirement of hepatic pyruvate carboxylase during fasting, high fat, and ketogenic diet",,,,,,,,,,,,,
35907828,Effectiveness of a telehealth physiotherapist-delivered intensive dietary weight loss program combined with exercise in people with knee osteoarthritis and overweight or obesity: study protocol for the POWER randomized controlled trial,,,,,,,,,,,,,
38565002,Carbohydrate restriction during lactation: A systematic review,,,,,,,,,,,,,
34269713,Ketogenic diet as an advanced option for the management of pediatric obesity,,,,,,,,,,,,,
32803691,Ketogenic diets as treatment of obesity and type 2 diabetes mellitus,,,,,,,,,,,,,
26408964,Ketogenic diet delays the phase of circadian rhythms and does not affect AMP-activated protein kinase (AMPK) in mouse liver,,,,,,,,,,,,,
21992535,"Effect of ketogenic Mediterranean diet with phytoextracts and low carbohydrates/high-protein meals on weight, cardiovascular risk factors, body composition and diet compliance in Italian council employees",,,,,,,,,,,,,
18655006,Ketogenic diet-fed rats have increased fat mass and phosphoenolpyruvate carboxykinase activity,,,,,,,,,,,,,
37049471,Sex-Specific Effects on Total Body Fat Gain with 4-Week Daily Dosing of Raspberry Ketone [4-(4-Hydroxyphenyl)-2-butanone] and Ketogenic Diet in Mice,,,,,,,,,,,,,
23755243,The ketogenic diet and hyperbaric oxygen therapy prolong survival in mice with systemic metastatic cancer,,,,,,,,,,,,,
35505754,"Effects of a Ketogenic Diet on Symptoms, Biomarkers, Depression, and Anxiety in Parkinson's Disease: A Case Study",,,,,,,,,,,,,
33434629,"""It's the single best thing I've done in the last 10 years"": a qualitative study exploring patient and dietitian experiences with, and perceptions of, a multi-component dietary weight loss program for knee osteoarthritis",,,,,,,,,,,,,
21527891,"Blood pressure and heart rate effects, weight loss and maintenance during long-term phentermine pharmacotherapy for obesity",,,,,,,,,,,,,
34684577,A Hypomethylating Ketogenic Diet in Apolipoprotein E-Deficient Mice: A Pilot Study on Vascular Effects and Specific Epigenetic Changes,,,,,,,,,,,,,
25906429,Ketogenic Diets for Fat Loss and Exercise Performance: Benefits and Safety?,,,,,,,,,,,,,
37703994,"Effects of ketone bodies on energy expenditure, substrate utilization, and energy intake in humans",,,,,,,,,,,,,
33104909,Ketogenic diet experience at Ondokuz May?s University,,,,,,,,,,,,,
24012088,Consumption of a low-carbohydrate and high-fat diet (the ketogenic diet) exaggerates biotin deficiency in mice,,,,,,,,,,,,,
27623967,Obesity treatment by very low-calorie-ketogenic diet at two years: reduction in visceral fat and on the burden of disease,,,,,,,,,,,,,
19506567,"Maintenance on a ketogenic diet: voluntary exercise, adiposity and neuroendocrine effects",,,,,,,,,,,,,
32290868,Are ketogenic diets promising for Alzheimer's disease? A translational review,,,,,,,,,,,,,
35010908,Randomized Clinical Trial to Evaluate the Morphological Changes in the Adventitial Vasa Vasorum Density and Biological Markers of Endothelial Dysfunction in Subjects with Moderate Obesity Undergoing a Very Low-Calorie Ketogenic Diet,,,,,,,,,,,,,
39296512,Therapeutic ketogenic diet as treatment for anorexia nervosa,,,,,,,,,,,,,
26410589,Effects of Twenty Days of the Ketogenic Diet on Metabolic and Respiratory Parameters in Healthy Subjects,,,,,,,,,,,,,
32619561,"ERGO2: A Prospective, Randomized Trial of Calorie-Restricted Ketogenic Diet and Fasting in Addition to Reirradiation for Malignant Glioma",,,,,,,,,,,,,
2736199,Effect of insulin on weight loss and tumour growth in a cachexia model,,,,,,,,,,,,,
25973847,Ketogenic Diet Impairs FGF21 Signaling and Promotes Differential Inflammatory Responses in the Liver and White Adipose Tissue,,,,,,,,,,,,,
30944267,Bone microstructure and metabolism changes under the combined intervention of ketogenic diet with intermittent fasting: an in vivo study of rats,,,,,,,,,,,,,
37459720,Modified Atkins diet in children with epilepsy with eyelid myoclonia (Jeavons syndrome),,,,,,,,,,,,,
33624538,Effects of resistance training combined with a ketogenic diet on body composition: a systematic review and meta-analysis,,,,,,,,,,,,,
23155696,Metabolic impact of a ketogenic diet compared to a hypocaloric diet in obese children and adolescents,,,,,,,,,,,,,
26284291,Fat-Free Mass Changes During Ketogenic Diets and the Potential Role of Resistance Training,,,,,,,,,,,,,
33480953,Potential effects of nutrition-based weight loss therapies in reversing obesity-related breast cancer epigenetic marks,,,,,,,,,,,,,
36270600,Ketogenic diet restrains herpes simplex encephalitis via gut microbes,,,,,,,,,,,,,
29974400,Are We Going Nuts on Coconut Oil?,,,,,,,,,,,,,
22178860,Ketogenic diet protects against epileptogenesis as well as neuronal loss in amygdaloid-kindling seizures,,,,,,,,,,,,,
31360561,Ketogenic Diet-Induced Severe Ketoacidosis in a Lactating Woman: A Case Report and Review of the Literature,,,,,,,,,,,,,
18833988,[Ketogenic diets and weight loss: basis and effectiveness],,,,,,,,,,,,,
35669612,Possible Nonneurological Health Benefits of Ketogenic Diet: Review of Scientific Reports over the Past Decade,,,,,,,,,,,,,
22617564,"Low-carbohydrate ketogenic diets, glucose homeostasis, and nonalcoholic fatty liver disease",,,,,,,,,,,,,
32014530,"Male mice placed on a ketogenic diet from postnatal day (P) 21 through adulthood have reduced growth, are hypoactive, show increased freezing in a conditioned fear paradigm, and have spatial learning deficits",,,,,,,,,,,,,
28723705,Dietary guidelines in type 2 diabetes: the Nordic diet or the ketogenic diet?,,,,,,,,,,,,,
38429463,Nutritional strategies cause memory damage and alter biochemical parameters without causing neuroinflammation,,,,,,,,,,,,,
36817595,Effects of the ketogenic diet on bone health: A systematic review,,,,,,,,,,,,,
32204895,MRI estimated changes in visceral adipose tissue and liver fat fraction in patients with obesity during a very low-calorie-ketogenic diet compared to a standard low-calorie diet,,,,,,,,,,,,,
36285748,Short- and long-term effects of very low- and low-calorie ketogenic diets on metabolism and cardiometabolic risk factors: a narrative review,,,,,,,,,,,,,
33802651,Comparison of Ketogenic Diets with and without Ketone Salts versus a Low-Fat Diet: Liver Fat Responses in Overweight Adults,,,,,,,,,,,,,
25986079,"Middle and Long-Term Impact of a Very Low-Carbohydrate Ketogenic Diet on Cardiometabolic Factors: A Multi-Center, Cross-Sectional, Clinical Study",,,,,,,,,,,,,
30241426,"Effect of A Very Low-Calorie Ketogenic Diet on Food and Alcohol Cravings, Physical and Sexual Activity, Sleep Disturbances, and Quality of Life in Obese Patients",,,,,,,,,,,,,
30328516,Fat Versus Carbohydrate-Based Energy-Restricted Diets for Weight Loss in Patients With Type 2 Diabetes,,,,,,,,,,,,,
25364576,Restricting carbohydrates to fight head and neck cancer-is this realistic?,,,,,,,,,,,,,
31347659,The impact of keto-adaptation on exercise performance and the role of metabolic-regulating cytokines,,,,,,,,,,,,,
24168053,A gestational ketogenic diet alters maternal metabolic status as well as offspring physiological growth and brain structure in the neonatal mouse,,,,,,,,,,,,,
33191194,"Ketogenic diets, not for everyone",,,,,,,,,,,,,
25355830,Dietary treatment in adults with refractory epilepsy: a review,,,,,,,,,,,,,
35373658,Could very low-calorie ketogenic diets turn off low grade inflammation in obesity? Emerging evidence,,,,,,,,,,,,,
35036220,"Ketogenic Diets: Side Effects, Attitude, and Quality of Life",,,,,,,,,,,,,
33871418,Beyond weight loss in nonalcoholic fatty liver disease: the role of carbohydrate restriction,,,,,,,,,,,,,
29183766,Ketogenic diet using a Japanese ketogenic milk for patients with epilepsy: A multi-institutional study,,,,,,,,,,,,,
28537652,Efficacy and safety of very-low-calorie ketogenic diet: a double blind randomized crossover study,,,,,,,,,,,,,
32539054,Amelioration of clinical course and demyelination in the cuprizone mouse model in relation to ketogenic diet,,,,,,,,,,,,,
34998415,VLCKD: a real time safety study in obesity,,,,,,,,,,,,,
38632714,Hepatic signal transducer and activator of transcription-3 signalling drives early-stage pancreatic cancer cachexia via suppressed ketogenesis,,,,,,,,,,,,,
27357802,"Effects of a ketogenic diet on adipose tissue, liver, and serum biomarkers in sedentary rats and rats that exercised via resisted voluntary wheel running",,,,,,,,,,,,,
23122539,Should the ketogenic diet be considered for enhancing fertility?,,,,,,,,,,,,,
32708435,Baseline HOMA IR and Circulating FGF21 Levels Predict NAFLD Improvement in Patients Undergoing a Low Carbohydrate Dietary Intervention for Weight Loss: A Prospective Observational Pilot Study,,,,,,,,,,,,,
30121567,Successful treatment of obesity and insulin resistance via ketogenic diet status post Roux-en-Y,,,,,,,,,,,,,
30504952,Ketogenic diet: situational analysis of current nutrition guidelines,,,,,,,,,,,,,
27193396,"An observational study of sequential protein-sparing, very low-calorie ketogenic diet (Oloproteic diet) and hypocaloric Mediterranean-like diet for the treatment of obesity",,,,,,,,,,,,,
33851013,Euglycemic Diabetic Ketoacidosis Caused by SGLT2 Inhibitors and a Ketogenic Diet: A Case Series and Review of Literature,,,,,,,,,,,,,
19427240,Seizure control and biochemical profile on the ketogenic diet in young children with refractory epilepsy--Indian experience,,,,,,,,,,,,,
37402834,Not all very-low-carbohydrate diets are created equal,,,,,,,,,,,,,
28914421,Acid-base safety during the course of a very low-calorie-ketogenic diet,,,,,,,,,,,,,
33605628,Alternative diets among adolescents: facts or fads?,,,,,,,,,,,,,
36931263,Effects of very low-carbohydrate ketogenic diets on lipid profiles in normal-weight (body mass index <?25 kg/m2) adults: a meta-analysis,,,,,,,,,,,,,
22366051,The ketogenic diet as a treatment option in adults with chronic refractory epilepsy: efficacy and tolerability in clinical practice,,,,,,,,,,,,,
34444964,Metabolic Derangement in Pediatric Patient with Obesity: The Role of Ketogenic Diet as Therapeutic Tool,,,,,,,,,,,,,
36459060,Very low-calorie ketogenic diet rapidly augments testosterone levels in non-diabetic obese subjects,,,,,,,,,,,,,
34598919,Ketogenic diets in the management of type 1 diabetes: Safe or safety concern?,,,,,,,,,,,,,
32919928,"Very low calorie ketogenic diets in overweight and obesity treatment: Effects on anthropometric parameters, body composition, satiety, lipid profile and microbiota",,,,,,,,,,,,,
38052747,"Evaluate the Effects of Different Types of Preoperative Restricted Calorie Diets on Weight, Body Mass Index, Operation Time and Hospital Stay in Patients Undergoing Bariatric Surgery: a Systematic Review and Meta Analysis Study",,,,,,,,,,,,,
36149528,Ketogenic state improves testosterone serum levels-results from a systematic review and meta-analysis,,,,,,,,,,,,,
30373291,Guiding Ketogenic Diet with Breath Acetone Sensors,,,,,,,,,,,,,
17228046,"The effects of a low-carbohydrate ketogenic diet and a low-fat diet on mood, hunger, and other self-reported symptoms",,,,,,,,,,,,,
28534852,Effects of Ketogenic Diets on Cardiovascular Risk Factors: Evidence from Animal and Human Studies,,,,,,,,,,,,,
20101008,A randomized trial of a low-carbohydrate diet vs orlistat plus a low-fat diet for weight loss,,,,,,,,,,,,,
19628783,Ketogenic diet disrupts the circadian clock and increases hypofibrinolytic risk by inducing expression of plasminogen activator inhibitor-1,,,,,,,,,,,,,
29556949,"More sugar? No, thank you! The elusive nature of low carbohydrate diets",,,,,,,,,,,,,
30037619,Ketogenic diet for schizophrenia: Nutritional approach to antipsychotic treatment,,,,,,,,,,,,,
31089482,Pilot study of a ketogenic diet in relapsing-remitting MS,,,,,,,,,,,,,
31756175,Starvation Ketoacidosis due to the Ketogenic Diet and Prolonged Fasting - A Possibly Dangerous Diet Trend,,,,,,,,,,,,,
33785628,Ketogenic Diets Induced Glucose Intolerance and Lipid Accumulation in Mice with Alterations in Gut Microbiota and Metabolites,,,,,,,,,,,,,
35147570,Can the Ketogenic diet lead to Wernicke's encephalopathy?,,,,,,,,,,,,,
39000187,Metabolic Effects of Ketogenic Diets: Exploring Whole-Body Metabolism in Connection with Adipose Tissue and Other Metabolic Organs,,,,,,,,,,,,,
38258448,A ketogenic diet lowers myocardial fatty acid oxidation but does not affect oxygen consumption: a study in overweight humans,,,,,,,,,,,,,
34936508,Therapeutic ketosis decreases methacholine hyperresponsiveness in mouse models of inherent obese asthma,,,,,,,,,,,,,
25005809,Very low-carbohydrate ketogenic diet before bariatric surgery: prospective evaluation of a sequential diet,,,,,,,,,,,,,
38254549,Methodological Challenges and Confounders in Research on the Effects of Ketogenic Diets: A Literature Review of Meta-Analyses,,,,,,,,,,,,,
32569590,From Fad to Fact: Evaluating the Impact of Emerging Diets on the Prevention of Cardiovascular Disease,,,,,,,,,,,,,
35168973,KETOgenic diet therapy in patients with HEPatocellular adenoma: study protocol of a matched interventional cohort study,,,,,,,,,,,,,
32702443,Ketogenic diet aggravates hypertension via NF-?B-mediated endothelial dysfunction in spontaneously hypertensive rats,,,,,,,,,,,,,
35675167,One size does not fit all	 practical,,,,,,,,,,,,,
38274536,Dietary trends and obesity in Saudi Arabia,,,,,,,,,,,,,
30173286,Improving Weight Loss by Combination of Two Temporary Antiobesity Treatments,,,,,,,,,,,,,
34087424,Obesity-associated deterioration of the hippocampus is partially restored after weight loss,,,,,,,,,,,,,
19410378,A model for determining total ketogenic ratio (TKR) for evaluating the ketogenic property of a weight-reduction diet,,,,,,,,,,,,,
37958602,Ketosis Suppression and Ageing (KetoSAge): The Effects of Suppressing Ketosis in Long Term Keto-Adapted Non-Athletic Females,,,,,,,,,,,,,
37142310,'The fact that I know I can do it is quite a motivator now': a qualitative study exploring experiences maintaining weight loss 6 months after completing a weight loss programme for knee osteoarthritis,,,,,,,,,,,,,
33014485,"Severe Metabolic Acidosis: A Case of Triple Hit with Ketogenic Diet, Vinegar, and Metformin in an Obese Patient",,,,,,,,,,,,,
37182692,Association between ß-Hydroxybutyrate Plasma Concentrations after Hypocaloric Ketogenic Diets and Changes in Body Composition,,,,,,,,,,,,,
34054731,"The Potential Roles of Very Low Calorie, Very Low Calorie Ketogenic Diets and Very Low Carbohydrate Diets on the Gut Microbiota Composition",,,,,,,,,,,,,
31962189,Current opinion on dietary advice in order to preserve fat-free mass during a low-calorie diet,,,,,,,,,,,,,
19793510,Low-carbohydrate diets: an update on current research,,,,,,,,,,,,,
36339405,Activation of G protein-coupled receptors by ketone bodies: Clinical implication of the ketogenic diet in metabolic disorders,,,,,,,,,,,,,
29422679,Effects of the Ketogenic diet in overweight divers breathing Enriched Air Nitrox,,,,,,,,,,,,,
33283400,"Choosing and following a very low calorie diet program in Australia: A quasi-mixed methods study to understand experiences, barriers, and facilitators in a self-initiated environment",,,,,,,,,,,,,
34835939,"Wikipedia, Google Trends and Diet: Assessment of Temporal Trends in the Internet Users' Searches in Italy before and during COVID-19 Pandemic",,,,,,,,,,,,,
22041813,[The ketogenic diet: an underappreciated therapeutic option?],,,,,,,,,,,,,
30251088,Pre-operative Very Low Calorie Ketogenic Diet (VLCKD) vs. Very Low Calorie Diet (VLCD): Surgical Impact,,,,,,,,,,,,,
35732547,Effects of a ketogenic diet in women with PCOS with different uric acid concentrations: a prospective cohort study,,,,,,,,,,,,,
33949320,Validity and efficacy of diets used for preoperative weight reduction among patients qualified for bariatric surgery,,,,,,,,,,,,,
35268056,Beneficial Effects of the Very-Low-Calorie Ketogenic Diet on the Symptoms of Male Accessory Gland Inflammation,,,,,,,,,,,,,
35011071,The Role of the Gut Microbiota on the Beneficial Effects of Ketogenic Diets,,,,,,,,,,,,,
17904939,Blood ketones are directly related to fatigue and perceived effort during exercise in overweight adults adhering to low-carbohydrate diets for weight loss: a pilot study,,,,,,,,,,,,,
37350638,A Ketogenic Diet Induces Tumor Ferroptosis but Accelerates Cachexia,,,,,,,,,,,,,
28179470,Phase I/II multicenter ketogenic diet study for adult superrefractory status epilepticus,,,,,,,,,,,,,
3219268,A comparison of long-chain triglycerides and medium-chain triglycerides on weight loss and tumour size in a cachexia model,,,,,,,,,,,,,
36235866,Impact of a Very Low-Calorie Ketogenic Diet (VLCKD) on Changes in Handgrip Strength in Women with Obesity,,,,,,,,,,,,,
33163300,Effects of the Ketogenic Diet on Glycemic Control in Diabetic Patients: Meta-Analysis of Clinical Trials,,,,,,,,,,,,,
34802065,"Low-Calorie Ketogenic Diet with Continuous Positive Airway Pressure to Alleviate Severe Obstructive Sleep Apnea Syndrome in Patients with Obesity Scheduled for Bariatric/Metabolic Surgery: a Pilot, Prospective, Randomized Multicenter Comparative Study",,,,,,,,,,,,,
34910867,"Case 38-2021: A 76-Year-Old Woman with Abdominal Pain, Weight Loss, and Memory Impairment",,,,,,,,,,,,,
27060389,"Establishing an Adult Epilepsy Diet Center: Experience, efficacy and challenges",,,,,,,,,,,,,
29760294,Breath profiles of children on ketogenic therapy,,,,,,,,,,,,,
12684364,Efficacy and safety of low-carbohydrate diets: a systematic review,,,,,,,,,,,,,
37096158,Dramatic elevation of LDL cholesterol from ketogenic-dieting: A Case Series,,,,,,,,,,,,,
29716884,"Comment on ""An Online Intervention Comparing a Very Low-Carbohydrate Ketogenic Diet and Lifestyle Recommendations Versus a Plate Method Diet in Overweight Individuals With Type 2 Diabetes: A Randomized Controlled Trial""",,,,,,,,,,,,,
9417152,"The effects of a high-protein, low-fat, ketogenic diet on adolescents with morbid obesity: body composition, blood chemistries, and sleep abnormalities",,,,,,,,,,,,,
29373032,"Tissue Level Diet and Sex-by-Diet Interactions Reveal Unique Metabolite and Clustering Profiles Using Untargeted Liquid Chromatography-Mass Spectrometry on Adipose, Skeletal Muscle, and Liver Tissue in C57BL6/J Mice",,,,,,,,,,,,,
32998364,Effectiveness of a Very Low Calorie Ketogenic Diet on Testicular Function in Overweight/Obese Men,,,,,,,,,,,,,
27249895,Effectiveness of Medium Chain Triglyceride Ketogenic Diet in Thai Children with Intractable Epilepsy,,,,,,,,,,,,,
19368291,[Ketogenic diets: additional benefits to the weight loss and unfounded secondary effects],,,,,,,,,,,,,
33281522,Lifestyle Modification Group for Lymphedema and Obesity Results in Significant Health Outcomes,,,,,,,,,,,,,
30089335,Short-term feeding of a ketogenic diet induces more severe hepatic insulin resistance than an obesogenic high-fat diet,,,,,,,,,,,,,
32737078,Mitochondrial spongiotic brain disease: astrocytic stress and harmful rapamycin and ketosis effect,,,,,,,,,,,,,
31267687,Phenotypic effects of dietary stress in combination with a respiratory chain bypass in mice,,,,,,,,,,,,,
